Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
MSC LOS ANGELES,LIBERIANA,276 10.1,Long,13/06/2024 10:00:00,2555--,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 18000,2453-0 2024,241782024,B,B.T.P. 1,9327798,
ALS VESTA,SINGAPURENSE,209 9,Long,05/08/2024 16:00:00,3382--,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3335-- 2024,324552024,B,TECON,9525950,
MAIPO,LIBERIANA,306 7,Long,24/11/2024 17:00:00,5059-8,ROCHAMAR AGENCIA MARITIMA S/A,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620,4929-1 2024,480952024,B,EPORT 1/TECON 1,9400083,
CMA CGM MAUPASSANT,MALTESA,231 10,Long,15/01/2025 13:00:00,0192-9,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0003-5 2025,594392024,B,EPORT 1/TECON 1,9409209,
JAMAICA EXPRESS,ILHAS MARSHALL,271 13,Long,16/01/2025 21:00:00,0211-9,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3220 210,5861-1 2024,575812024,B,EPORT 1/TECON 1,9686912,
NAVEGANTES EXPRESS,SINGAPURENSE,330 7,Long,19/01/2025 01:48:00,0251-8,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,21852 180,5942-1 2024,585402024,B,B.T.P. 1,9793935,
BF HAMBURG,LIBERIANA,293 13.5,Long,20/01/2025 06:12:00,0266-6,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 1800,0197-4 2025,13802025,B,B.T.P. 1,9332860,
LOG-IN POLARIS,BRASILEIRA,186 8.1,Cabo,20/01/2025 20:35:00,0273-9,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,0192-2 2025,15622025,B,TECON,9852365,
SEASPAN HARRIER,HONG KONG,330 12.2,Long,21/01/2025 16:30:00,0285-2,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,5490-3 2024,534482024,B,B.T.P. 1,9793923,
ALESSIA,LIBERIANA,300 13.7,Long,22/01/2025,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,10800 3600,5726-7 2024,560882024,B,EPORT 1/TECON 1,9225653,
ALS VESTA,SINGAPURENSE,209 8,Long,22/01/2025,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400,5478-3 2024,530372024,B,TECON,9525950,
AS CASPRIA,LIBERIANA,225 9.1,Long,22/01/2025,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,3529-0 2024,348882024,B,TECON,9399753,
BREMERHAVEN EXPRESS,MALTESA,300 7,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1080 26226,5872-3 2024,575842024,B,B.T.P. 1,9723253,
BRIGHT,PORTUGUESA,186 9,Long,22/01/2025,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400,4749-3 2024,453742024,B,TECON,9778399,
BROOKLYN BRIDGE,JAPONESA,267 12.3,Long,22/01/2025,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530,5408-5 2024,527242024,B,EPORT 1/TECON 1,9458999,
CMA CGM PLATON,MALTESA,170 9.4,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0203-4 2025,16222025,B,TECON,9362437,
CORCOVADO,LIBERIANA,300 9,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,108 14760,5869-2 2024,576112024,B,TECON,9687564,
ENSENADA,LIBERIANA,279 10,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0165-5 2025,12442025,B,EPORT 1/TECON 1,9247546,
HONG PROSPERITY,PANAMENHA,172 8,Long,22/01/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,5847-9 2024,573432024,B,EPORT 1/TECON 1,9256418,
LOG-IN EVOLUTION,BRASILEIRA,200 8.1,Cabo,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,1621-6 2024,159252024,B,EPORT 1/TECON 1,9961960,
LOG-IN EXPERIENCE (REB),BRASILEIRA,200 8.1,Cabo,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,5701-4 2024,557912024,B,EPORT 1/TECON 1,9961972,
MSC ALICANTE,MALTESA,271 10.4,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400,4123-7 2024,405642024,B,B.T.P. 1,9480174,
MSC ALIYA,LIBERIANA,366 11.3,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000,5195-1 2024,503422024,B,B.T.P. 1,9842097,
MSC BARCELONA,MALTESA,270 10.4,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800,1606-7 2024,157952024,B,B.T.P. 1,9480186,
MSC CARMELITA,LIBERIANA,366 11.3,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000,5187-9 2024,503382024,B,B.T.P. 1,9946879,
MSC CHIARA X,LIBERIANA,347 13.8,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,0166-1 2025,9462025,B,B.T.P. 1,9198587,
MSC CLEA,PORTUGUESA,300 13.8,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,5192-2 2024,504672024,B,B.T.P. 1,9720524,
MSC DOMITILLE,PORTUGUESA,300 10,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800,0267-2 2025,23242025,B,TECON,9720201,
MSC DOMITILLE,PORTUGUESA,300 13.8,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,5188-5 2024,503012024,B,B.T.P. 1,9720201,
MSC MAXINE,PORTUGUESA,300 10,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 12600,4334-8 2024,424612024,B,TECON,9720287,
MSC NOA,LIBERIANA,304 10.4,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400,4909-- 2024,472922024,B,B.T.P. 1,9398228,
MSC PEGASUS VII,LIBERIANA,300 10.1,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400,5776-4 2024,569412024,B,B.T.P. 1,9267637,
MSC PILAR VI,LIBERIANA,279 11.3,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000,5990-6 2024,586892024,B,B.T.P. 1,9248148,
MSC PUSAN,CIPRIOTA,337 13.8,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,5916-- 2024,573452024,B,B.T.P. 1,9307229,
MSC SANTA MARIA,PANAMENHA,294 13.7,Long,22/01/2025,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,5377-2 2024,524422024,B,B.T.P. 1,9290426,
PALENA,LIBERIANA,304 9,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300,5950-4 2024,575882024,B,EPORT 1/TECON 1,9306196,
PARANAGUA EXPRESS,SINGAPURENSE,330 13,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,21852 180,0274-9 2025,571232024,B,ALAMOA,9786724,
RDO FORTUNE,LIBERIANA,256 10,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,2106,5912-5 2024,576132024,B,TECON,9623673,
SEATTLE C,CIPRIOTA,260 11.8,Long,22/01/2025,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 10800,0122-4 2025,8772025,B,EPORT 1/TECON 1,9360910,
TOKYO BAY,LIBERIANA,271 7,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300,4516-9 2024,439482024,B,EPORT 1/TECON 1,9629380,
TRAIGUEN,LIBERIANA,300 9,Long,22/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0167-8 2025,10612025,B,B.T.P. 1,9627904,
XIAMEN EXPRESS,HONG KONG,336 7,Long,22/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,17370 360,5663-5 2024,550352024,B,B.T.P. 1,9630420,
SEASPAN OSPREY,HONG KONG,330 12.2,Long,22/01/2025 05:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,5653-0 2024,551772024,B,B.T.P. 1,9786736,
GREENLAND,MALTESA,272 10.4,Long,22/01/2025 10:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400,0275-5 2025,23392025,B,B.T.P. 1,9970002,
CMA CGM SAO PAULO,MALTESA,336 10,Long,22/01/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0322-3 2025,27872025,B,TECON,9938274,
NC BREDA (REB S/L),BRASILEIRA,224 8,Cabo,22/01/2025 12:00:00,0292-5,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4500 6300,5927-2 2024,576092024,B,TECON,9612765,
LOG-IN PANTANAL (REB),BRASILEIRA,183 9.1,Cabo,22/01/2025 13:00:00,0295-0,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,0316-3 2025,18032025,B,TECON,9351799,
HYUNDAI GOODWILL,COREANA,294 10,Long,22/01/2025 18:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,0162-6 2025,11422025,B,EPORT 1/TECON 1,9347607,
IRENES RULE,ILHAS MARSHALL,186 9,Long,23/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360,5911-9 2024,576152024,B,TECON,9953561,
MONTE ROSA,SINGAPURENSE,272 9,Long,23/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0151-4 2025,590122024,B,B.T.P. 1,9283215,
VICENTE PINZÓN,BRASILEIRA,255 9,Cabo,23/01/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0047-2 2025,2832025,B,TECON,9625396,
COSCO SHIPPING MEXICO,HONG KONG,336 11.6,Long,23/01/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 10800,0187-9 2025,13932025,B,TECON,9945863,
EVER LOVELY,SINGAPURENSE,335 11.8,Long,23/01/2025 07:00:00,,EVERGREEN SHIPPING AGENCY(BR) SA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,21600 180,0306-8 2025,25952025,B,EPORT 1/TECON 1,9629110,
MAERSK LOTA,DINAMARQUESA,300 9,Long,23/01/2025 20:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0150-8 2025,589662024,B,B.T.P. 1,9526954,
GSL ARCADIA,LIBERIANA,277 9,Long,24/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,5975-7 2024,589202024,B,B.T.P. 1,9214214,
PEDRO ÁLVARES CABRAL,BRASILEIRA,228 9,Cabo,24/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600,5987-5 2024,575732024,B,B.T.P. / TECON,9603219,
MSC SARA ELENA,PORTUGUESA,300 10,Long,24/01/2025 01:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 12600,0268-9 2025,23532025,B,TECON,9702261,
MSC SHUBA B,PORTUGUESA,330 13.8,Long,24/01/2025 03:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,0272-6 2025,23662025,B,B.T.P. 1,9778076,
SAN ALBERTO,LIBERIANA,186 9,Long,24/01/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0144-8 2025,590312024,B,TECON,9344643,
AS CASPRIA,LIBERIANA,225 9,Long,24/01/2025 10:21:00,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0232-4 2025,20782025,B,TECON,9399753,
MSC KALAMATA VII,LIBERIANA,304 11.3,Long,24/01/2025 13:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000,0271-0 2025,23742025,B,B.T.P. 1,9244946,
CAPE PIONEER,CIPRIOTA,271 7,Long,25/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18666 126,5907-1 2024,576162024,B,EPORT 1/TECON 1,9719874,
SAN LORENZO MAERSK,DINAMARQUESA,333 9,Long,25/01/2025 03:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0138-8 2025,590452024,B,TECON,9622227,
SEATTLE C,CIPRIOTA,260 10.2,Long,25/01/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,10800 3600,0200-5 2025,13982025,B,TECON,9360910,
MAERSK MONTE ALEGRE,SINGAPURENSE,272 9,Long,25/01/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0139-4 2025,589762024,B,TECON,9348065,
KOTA PURI,HONG KONG,330 10,Long,25/01/2025 22:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,0012-4 2025,592322024,B,EPORT 1/TECON 1,9793959,
MSC ALBANY,LIBERIANA,300 14.2,Long,25/01/2025 23:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800,0273-2 2025,23772025,B,B.T.P. 1,9619438,
DALIAN EXPRESS,LIBERIANA,351 9,Long,26/01/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300,5909-4 2024,576172024,B,EPORT 1/TECON 1,9229829,
SAN RAPHAEL MAERSK,DINAMARQUESA,333 9,Long,26/01/2025,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0140-2 2025,591562024,B,TECON,9622253,
COSCO SHIPPING DANUBE,HONG KONG,300 11.5,Long,26/01/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 9000,0304-5 2025,24022025,B,EPORT 1/TECON 1,9731913,
ZIM USA,HONG KONG,330 10.1,Long,26/01/2025 07:00:00,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 9000,0342-4 2025,30602025,B,TECON,9945473,
CMA CGM AMAZONIA,MALTESA,336 10,Long,26/01/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,0353-6 2025,34122025,B,EPORT 1/TECON 1,9938298,
